number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,type_of_meal,car_parking_space,room_type,lead_time,market_segment_type,repeated,p-c,p-not-c,average_price,special_requests,date_of_reservation,booking_status,number_of_children_log,number_of_week_nights_log,car_parking_space_log,lead_time_log,repeated_log,p-c_log,p-not-c_log,special_requests_log,reservation_year,reservation_month,reservation_day,reservation_weekday,booking_status_flag
1,0,2,1,Meal Plan 1,0,Room_Type 4,35,Online,0,0,0,140.4,1,2018-04-30,Not_Canceled,0.0,0.6931471805599453,0.0,3.58351893845611,0.0,0.0,0.0,0.6931471805599453,2018.0,4.0,30.0,Monday,0
2,0,2,1,Not Selected,0,Room_Type 1,30,Online,0,0,0,88.0,0,2018-11-26,Canceled,0.0,0.6931471805599453,0.0,3.4339872044851463,0.0,0.0,0.0,0.0,2018.0,11.0,26.0,Monday,1
1,0,2,0,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,90.0,2,2018-11-20,Canceled,0.0,0.0,0.0,4.564348191467836,0.0,0.0,0.0,1.0986122886681096,2018.0,11.0,20.0,Tuesday,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,94.5,2,2017-10-20,Not_Canceled,0.0,1.0986122886681096,0.0,3.8712010109078907,0.0,0.0,0.0,1.0986122886681096,2017.0,10.0,20.0,Friday,0
2,0,0,2,Meal Plan 2,0,Room_Type 1,256,Online,0,0,0,115.0,1,2018-06-15,Canceled,0.0,1.0986122886681096,0.0,5.54907608489522,0.0,0.0,0.0,0.6931471805599453,2018.0,6.0,15.0,Friday,1
1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Offline,0,0,0,96.0,0,2017-10-05,Not_Canceled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,10.0,5.0,Thursday,0
2,0,1,3,Not Selected,0,Room_Type 1,1,Online,0,0,0,96.0,1,2017-08-10,Not_Canceled,0.0,1.3862943611198906,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,2017.0,8.0,10.0,Thursday,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65.0,0,2017-10-30,Canceled,0.0,1.0986122886681096,0.0,4.605170185988092,0.0,0.0,0.0,0.0,2017.0,10.0,30.0,Monday,1
2,0,1,0,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,72.0,0,2017-10-04,Not_Canceled,0.0,0.0,0.0,2.5649493574615367,0.0,0.0,0.0,0.0,2017.0,10.0,4.0,Wednesday,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65.0,0,2017-10-30,Canceled,0.0,1.0986122886681096,0.0,4.605170185988092,0.0,0.0,0.0,0.0,2017.0,10.0,30.0,Monday,1
1,0,0,1,Meal Plan 1,0,Room_Type 1,122,Corporate,0,0,0,67.0,0,2018-11-25,Not_Canceled,0.0,0.6931471805599453,0.0,4.812184355372417,0.0,0.0,0.0,0.0,2018.0,11.0,25.0,Sunday,0
2,0,2,4,Meal Plan 1,0,Room_Type 1,2,Offline,0,0,0,85.0,0,2018-03-20,Not_Canceled,0.0,1.6094379124341003,0.0,1.0986122886681096,0.0,0.0,0.0,0.0,2018.0,3.0,20.0,Tuesday,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,2018-10-13,Not_Canceled,0.0,1.3862943611198906,0.0,3.6375861597263857,0.0,0.0,0.0,0.0,2018.0,10.0,13.0,Saturday,0
2,0,2,1,Not Selected,0,Room_Type 1,130,Online,0,0,0,94.5,1,2018-05-22,Not_Canceled,0.0,0.6931471805599453,0.0,4.875197323201151,0.0,0.0,0.0,0.6931471805599453,2018.0,5.0,22.0,Tuesday,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,114.3,1,2018-04-28,Not_Canceled,0.0,1.0986122886681096,0.0,4.605170185988092,0.0,0.0,0.0,0.6931471805599453,2018.0,4.0,28.0,Saturday,0
2,0,1,1,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,65.0,0,2017-09-21,Not_Canceled,0.0,0.6931471805599453,0.0,4.110873864173311,0.0,0.0,0.0,0.0,2017.0,9.0,21.0,Thursday,0
1,0,0,2,Meal Plan 1,0,Room_Type 4,2,Aviation,0,0,0,110.0,0,2018-05-19,Canceled,0.0,1.0986122886681096,0.0,1.0986122886681096,0.0,0.0,0.0,0.0,2018.0,5.0,19.0,Saturday,1
1,0,1,2,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,37.33,0,2017-11-06,Canceled,0.0,1.0986122886681096,0.0,3.6375861597263857,0.0,0.0,0.0,0.0,2017.0,11.0,6.0,Monday,1
2,0,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,0,0,0,82.0,0,2017-09-17,Not_Canceled,0.0,1.0986122886681096,0.0,4.04305126783455,0.0,0.0,0.0,0.0,2017.0,9.0,17.0,Sunday,0
2,0,1,1,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,177.5,1,2017-09-19,Not_Canceled,0.0,0.6931471805599453,0.0,1.3862943611198906,0.0,0.0,0.0,0.6931471805599453,2017.0,9.0,19.0,Tuesday,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,87.5,1,2018-11-13,Not_Canceled,0.0,1.0986122886681096,0.0,4.68213122712422,0.0,0.0,0.0,0.6931471805599453,2018.0,11.0,13.0,Tuesday,0
0,2,0,3,Meal Plan 1,0,Room_Type 2,56,Online,0,0,0,82.44,1,2018-12-07,Not_Canceled,1.0986122886681096,1.3862943611198906,0.0,4.04305126783455,0.0,0.0,0.0,0.6931471805599453,2018.0,12.0,7.0,Friday,0
2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,69.5,1,2018-01-09,Not_Canceled,0.0,0.6931471805599453,0.0,1.0986122886681096,0.0,0.0,0.0,0.6931471805599453,2018.0,1.0,9.0,Tuesday,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,72,Offline,0,0,0,85.5,0,2018-10-07,Not_Canceled,0.0,1.0986122886681096,0.0,4.290459441148391,0.0,0.0,0.0,0.0,2018.0,10.0,7.0,Sunday,0
2,0,0,1,Not Selected,1,Room_Type 1,23,Online,0,0,0,115.0,1,2018-04-27,Not_Canceled,0.0,0.6931471805599453,0.6931471805599453,3.1780538303479458,0.0,0.0,0.0,0.6931471805599453,2018.0,4.0,27.0,Friday,0
1,0,2,1,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,81.0,0,2018-06-19,Canceled,0.0,0.6931471805599453,0.0,3.5553480614894135,0.0,0.0,0.0,0.0,2018.0,6.0,19.0,Tuesday,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,0,0,0,67.0,0,2017-10-17,Not_Canceled,0.0,0.6931471805599453,0.0,5.66988092298052,0.0,0.0,0.0,0.0,2017.0,10.0,17.0,Tuesday,0
2,0,2,3,Not Selected,0,Room_Type 1,247,Online,0,0,0,63.75,0,2018-11-19,Canceled,0.0,1.3862943611198906,0.0,5.5134287461649825,0.0,0.0,0.0,0.0,2018.0,11.0,19.0,Monday,1
2,0,2,1,Meal Plan 1,0,Room_Type 4,186,Online,0,0,0,121.8,1,2018-07-30,Canceled,0.0,0.6931471805599453,0.0,5.231108616854587,0.0,0.0,0.0,0.6931471805599453,2018.0,7.0,30.0,Monday,1
2,0,0,4,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,93.6,2,2018-11-01,Not_Canceled,0.0,1.6094379124341003,0.0,4.174387269895637,0.0,0.0,0.0,1.0986122886681096,2018.0,11.0,1.0,Thursday,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,102.0,1,2018-06-21,Not_Canceled,0.0,1.0986122886681096,0.0,3.58351893845611,0.0,0.0,0.0,0.6931471805599453,2018.0,6.0,21.0,Thursday,0
3,0,2,1,Meal Plan 1,0,Room_Type 1,96,Online,0,0,0,121.8,1,2018-04-10,Not_Canceled,0.0,0.6931471805599453,0.0,4.574710978503383,0.0,0.0,0.0,0.6931471805599453,2018.0,4.0,10.0,Tuesday,0
2,0,1,1,Not Selected,0,Room_Type 1,41,Online,0,0,0,98.1,1,2018-06-27,Canceled,0.0,0.6931471805599453,0.0,3.7376696182833684,0.0,0.0,0.0,0.6931471805599453,2018.0,6.0,27.0,Wednesday,1
2,0,0,4,Meal Plan 1,0,Room_Type 4,55,Offline,0,0,0,60.0,1,2017-11-18,Not_Canceled,0.0,1.6094379124341003,0.0,4.02535169073515,0.0,0.0,0.0,0.6931471805599453,2017.0,11.0,18.0,Saturday,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,146,Offline,0,0,0,75.0,0,2017-12-29,Not_Canceled,0.0,1.3862943611198906,0.0,4.990432586778736,0.0,0.0,0.0,0.0,2017.0,12.0,29.0,Friday,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,73.0,0,2017-11-20,Not_Canceled,0.0,1.0986122886681096,0.0,3.4965075614664802,0.0,0.0,0.0,0.0,2017.0,11.0,20.0,Monday,0
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104.0,0,2018-04-06,Not_Canceled,0.0,0.6931471805599453,0.0,4.02535169073515,0.0,0.0,0.0,0.0,2018.0,4.0,6.0,Friday,0
2,0,0,4,Not Selected,0,Room_Type 1,57,Online,0,0,0,79.2,1,2018-11-01,Not_Canceled,0.0,1.6094379124341003,0.0,4.060443010546419,0.0,0.0,0.0,0.6931471805599453,2018.0,11.0,1.0,Thursday,0
1,0,1,3,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,125.8,2,2018-12-29,Not_Canceled,0.0,1.3862943611198906,0.0,2.0794415416798357,0.0,0.0,0.0,1.0986122886681096,2018.0,12.0,29.0,Saturday,0
1,0,2,5,Not Selected,0,Room_Type 1,124,Online,0,0,0,87.95,0,2018-05-30,Not_Canceled,0.0,1.791759469228055,0.0,4.8283137373023015,0.0,0.0,0.0,0.0,2018.0,5.0,30.0,Wednesday,0
2,0,2,2,Meal Plan 2,0,Room_Type 1,169,Online,0,0,0,106.0,0,2018-04-22,Canceled,0.0,1.0986122886681096,0.0,5.135798437050262,0.0,0.0,0.0,0.0,2018.0,4.0,22.0,Sunday,1
1,0,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,136.67,1,2018-05-16,Not_Canceled,0.0,1.0986122886681096,0.0,1.9459101490553132,0.0,0.0,0.0,0.6931471805599453,2018.0,5.0,16.0,Wednesday,0
2,0,0,4,Meal Plan 1,0,Room_Type 4,51,Offline,0,0,0,60.0,1,2017-11-11,Not_Canceled,0.0,1.6094379124341003,0.0,3.9512437185814275,0.0,0.0,0.0,0.6931471805599453,2017.0,11.0,11.0,Saturday,0
2,0,1,0,Not Selected,0,Room_Type 1,13,Online,0,0,0,89.0,2,2018-06-13,Not_Canceled,0.0,0.0,0.0,2.639057329615259,0.0,0.0,0.0,1.0986122886681096,2018.0,6.0,13.0,Wednesday,0
2,0,1,3,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,136.0,1,2018-05-19,Not_Canceled,0.0,1.3862943611198906,0.0,4.61512051684126,0.0,0.0,0.0,0.6931471805599453,2018.0,5.0,19.0,Saturday,0
2,0,0,1,Not Selected,0,Room_Type 1,139,Online,0,0,0,94.5,1,2018-07-28,Not_Canceled,0.0,0.6931471805599453,0.0,4.941642422609304,0.0,0.0,0.0,0.6931471805599453,2018.0,7.0,28.0,Saturday,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,117,Online,0,0,0,93.6,2,2018-12-26,Not_Canceled,0.0,1.0986122886681096,0.0,4.770684624465665,0.0,0.0,0.0,1.0986122886681096,2018.0,12.0,26.0,Wednesday,0
2,0,1,4,Meal Plan 1,0,Room_Type 4,39,Online,0,0,0,120.6,0,2018-04-20,Canceled,0.0,1.6094379124341003,0.0,3.6888794541139363,0.0,0.0,0.0,0.0,2018.0,4.0,20.0,Friday,1
2,0,0,3,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,99.3,1,2018-04-06,Not_Canceled,0.0,1.3862943611198906,0.0,4.465908118654584,0.0,0.0,0.0,0.6931471805599453,2018.0,4.0,6.0,Friday,0
1,0,0,3,Meal Plan 1,0,Room_Type 4,19,Online,0,0,0,120.12,2,2018-05-03,Not_Canceled,0.0,1.3862943611198906,0.0,2.995732273553991,0.0,0.0,0.0,1.0986122886681096,2018.0,5.0,3.0,Thursday,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95.0,0,2018-06-24,Not_Canceled,0.0,1.0986122886681096,0.0,5.262690188904886,0.0,0.0,0.0,0.0,2018.0,6.0,24.0,Sunday,0
2,0,2,1,Meal Plan 1,0,Room_Type 1,86,Offline,0,0,0,75.0,0,2018-12-18,Not_Canceled,0.0,0.6931471805599453,0.0,4.465908118654584,0.0,0.0,0.0,0.0,2018.0,12.0,18.0,Tuesday,0
2,0,0,3,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,157.5,2,2018-10-05,Not_Canceled,0.0,1.3862943611198906,0.0,3.4339872044851463,0.0,0.0,0.0,1.0986122886681096,2018.0,10.0,5.0,Friday,0
2,0,0,2,Meal Plan 1,0,Room_Type 4,179,Online,0,0,0,97.7,1,2018-06-03,Not_Canceled,0.0,1.0986122886681096,0.0,5.19295685089021,0.0,0.0,0.0,0.6931471805599453,2018.0,6.0,3.0,Sunday,0
2,0,0,2,Meal Plan 1,0,Room_Type 4,26,Online,0,0,0,142.0,0,2018-04-15,Canceled,0.0,1.0986122886681096,0.0,3.295836866004329,0.0,0.0,0.0,0.0,2018.0,4.0,15.0,Sunday,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,55,Offline,0,0,0,80.0,0,2018-04-06,Not_Canceled,0.0,0.6931471805599453,0.0,4.02535169073515,0.0,0.0,0.0,0.0,2018.0,4.0,6.0,Friday,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,85.5,1,2018-04-25,Not_Canceled,0.0,1.0986122886681096,0.0,4.31748811353631,0.0,0.0,0.0,0.6931471805599453,2018.0,4.0,25.0,Wednesday,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,0,0,0,100.0,0,2018-08-25,Not_Canceled,0.0,1.3862943611198906,0.0,4.969813299576001,0.0,0.0,0.0,0.0,2018.0,8.0,25.0,Saturday,0
2,0,1,0,Not Selected,0,Room_Type 1,34,Online,0,0,0,88.0,2,2018-11-14,Not_Canceled,0.0,0.0,0.0,3.5553480614894135,0.0,0.0,0.0,1.0986122886681096,2018.0,11.0,14.0,Wednesday,0
2,0,1,1,Meal Plan 1,1,Room_Type 1,30,Online,0,0,0,122.85,1,2018-08-29,Not_Canceled,0.0,0.6931471805599453,0.6931471805599453,3.4339872044851463,0.0,0.0,0.0,0.6931471805599453,2018.0,8.0,29.0,Wednesday,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,177,Online,0,0,0,100.0,0,2018-06-03,Canceled,0.0,1.0986122886681096,0.0,5.181783550292085,0.0,0.0,0.0,0.0,2018.0,6.0,3.0,Sunday,1
2,0,2,3,Meal Plan 1,0,Room_Type 4,34,Offline,0,0,0,75.0,0,2017-10-25,Not_Canceled,0.0,1.3862943611198906,0.0,3.5553480614894135,0.0,0.0,0.0,0.0,2017.0,10.0,25.0,Wednesday,0
2,0,1,4,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,116.8,1,2018-03-09,Not_Canceled,0.0,1.6094379124341003,0.0,2.9444389791664403,0.0,0.0,0.0,0.6931471805599453,2018.0,3.0,9.0,Friday,0
3,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,0,0,0,121.5,0,2018-12-31,Not_Canceled,0.0,0.6931471805599453,0.0,5.5909869805108565,0.0,0.0,0.0,0.0,2018.0,12.0,31.0,Monday,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,111.9,1,2018-06-27,Not_Canceled,0.0,1.0986122886681096,0.0,4.174387269895637,0.0,0.0,0.0,0.6931471805599453,2018.0,6.0,27.0,Wednesday,0
3,0,2,5,Meal Plan 1,0,Room_Type 4,155,Online,0,0,0,121.55,2,2018-06-28,Canceled,0.0,1.791759469228055,0.0,5.049856007249537,0.0,0.0,0.0,1.0986122886681096,2018.0,6.0,28.0,Thursday,1
2,0,0,5,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,75.0,1,2018-03-29,Not_Canceled,0.0,1.791759469228055,0.0,3.8501476017100584,0.0,0.0,0.0,0.6931471805599453,2018.0,3.0,29.0,Thursday,0
2,2,0,2,Meal Plan 1,0,Room_Type 6,83,Online,0,0,0,159.3,0,2018-04-01,Canceled,1.0986122886681096,1.0986122886681096,0.0,4.430816798843313,0.0,0.0,0.0,0.0,2018.0,4.0,1.0,Sunday,1
2,0,0,5,Meal Plan 1,0,Room_Type 4,128,Online,0,0,0,132.3,0,2018-10-11,Canceled,0.0,1.791759469228055,0.0,4.859812404361672,0.0,0.0,0.0,0.0,2018.0,10.0,11.0,Thursday,1
2,0,2,0,Not Selected,0,Room_Type 1,20,Online,0,0,0,88.0,2,2018-12-25,Not_Canceled,0.0,0.0,0.0,3.044522437723423,0.0,0.0,0.0,1.0986122886681096,2018.0,12.0,25.0,Tuesday,0
2,0,1,4,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,98.82,0,2018-03-14,Not_Canceled,0.0,1.6094379124341003,0.0,3.713572066704308,0.0,0.0,0.0,0.0,2018.0,3.0,14.0,Wednesday,0
2,0,1,2,Meal Plan 1,1,Room_Type 4,46,Online,0,0,0,98.3,1,2018-03-04,Not_Canceled,0.0,1.0986122886681096,0.6931471805599453,3.8501476017100584,0.0,0.0,0.0,0.6931471805599453,2018.0,3.0,4.0,Sunday,0
1,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,150.0,2,2018-10-17,Not_Canceled,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,1.0986122886681096,2018.0,10.0,17.0,Wednesday,0
2,0,2,3,Not Selected,0,Room_Type 1,196,Online,0,0,0,96.05,1,2018-09-04,Not_Canceled,0.0,1.3862943611198906,0.0,5.2832037287379885,0.0,0.0,0.0,0.6931471805599453,2018.0,9.0,4.0,Tuesday,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Online,0,0,0,130.0,0,2018-06-15,Canceled,0.0,1.0986122886681096,0.0,5.241747015059643,0.0,0.0,0.0,0.0,2018.0,6.0,15.0,Friday,1
2,0,0,1,Not Selected,0,Room_Type 1,17,Online,1,0,5,95.0,0,2018-12-10,Not_Canceled,0.0,0.6931471805599453,0.0,2.8903717578961645,0.6931471805599453,0.0,1.791759469228055,0.0,2018.0,12.0,10.0,Monday,0
2,0,0,3,Meal Plan 1,0,Room_Type 5,146,Offline,0,0,0,113.56,0,2018-08-09,Not_Canceled,0.0,1.3862943611198906,0.0,4.990432586778736,0.0,0.0,0.0,0.0,2018.0,8.0,9.0,Thursday,0
2,0,1,3,Not Selected,0,Room_Type 1,110,Online,0,0,0,101.58,1,2018-05-05,Not_Canceled,0.0,1.3862943611198906,0.0,4.709530201312334,0.0,0.0,0.0,0.6931471805599453,2018.0,5.0,5.0,Saturday,0
2,0,1,2,Meal Plan 1,1,Room_Type 1,68,Online,0,0,0,105.3,0,2018-03-18,Not_Canceled,0.0,1.0986122886681096,0.6931471805599453,4.23410650459726,0.0,0.0,0.0,0.0,2018.0,3.0,18.0,Sunday,0
2,0,2,1,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,115.8,1,2018-04-09,Not_Canceled,0.0,0.6931471805599453,0.0,4.304065093204169,0.0,0.0,0.0,0.6931471805599453,2018.0,4.0,9.0,Monday,0
2,0,0,1,Meal Plan 1,0,Room_Type 4,92,Online,0,0,0,149.4,1,2018-05-19,Not_Canceled,0.0,0.6931471805599453,0.0,4.532599493153256,0.0,0.0,0.0,0.6931471805599453,2018.0,5.0,19.0,Saturday,0
2,0,2,5,Meal Plan 1,0,Room_Type 1,171,Online,0,0,0,111.59,0,2018-08-30,Canceled,0.0,1.791759469228055,0.0,5.147494476813453,0.0,0.0,0.0,0.0,2018.0,8.0,30.0,Thursday,1
2,1,0,2,Meal Plan 1,1,Room_Type 1,134,Online,0,0,0,130.5,2,2018-08-04,Not_Canceled,0.6931471805599453,1.0986122886681096,0.6931471805599453,4.90527477843843,0.0,0.0,0.0,1.0986122886681096,2018.0,8.0,4.0,Saturday,0
2,0,0,4,Meal Plan 1,0,Room_Type 1,118,Online,0,0,0,90.95,1,2018-04-13,Not_Canceled,0.0,1.6094379124341003,0.0,4.77912349311153,0.0,0.0,0.0,0.6931471805599453,2018.0,4.0,13.0,Friday,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,76.08,1,2018-11-17,Not_Canceled,0.0,1.3862943611198906,0.0,3.4339872044851463,0.0,0.0,0.0,0.6931471805599453,2018.0,11.0,17.0,Saturday,0
2,2,1,3,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,156.9,0,2018-12-22,Not_Canceled,1.0986122886681096,1.3862943611198906,0.0,3.4339872044851463,0.0,0.0,0.0,0.0,2018.0,12.0,22.0,Saturday,0
2,0,1,0,Not Selected,0,Room_Type 1,189,Online,0,0,0,85.5,2,2018-10-23,Not_Canceled,0.0,0.0,0.0,5.247024072160486,0.0,0.0,0.0,1.0986122886681096,2018.0,10.0,23.0,Tuesday,0
3,0,1,2,Meal Plan 1,0,Room_Type 4,55,Online,0,0,0,159.3,2,2018-05-13,Not_Canceled,0.0,1.0986122886681096,0.0,4.02535169073515,0.0,0.0,0.0,1.0986122886681096,2018.0,5.0,13.0,Sunday,0
1,0,0,4,Meal Plan 1,0,Room_Type 1,55,Online,0,0,0,74.8,2,2018-12-13,Not_Canceled,0.0,1.6094379124341003,0.0,4.02535169073515,0.0,0.0,0.0,1.0986122886681096,2018.0,12.0,13.0,Thursday,0
2,0,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,95.0,1,2017-10-31,Not_Canceled,0.0,0.6931471805599453,0.0,2.833213344056216,0.0,0.0,0.0,0.6931471805599453,2017.0,10.0,31.0,Tuesday,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,107.0,1,2017-10-08,Not_Canceled,0.0,1.3862943611198906,0.0,3.2188758248682006,0.0,0.0,0.0,0.6931471805599453,2017.0,10.0,8.0,Sunday,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,8,Offline,0,0,0,64.0,0,2018-02-16,Not_Canceled,0.0,1.3862943611198906,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,2018.0,2.0,16.0,Friday,0
2,0,1,4,Meal Plan 1,1,Room_Type 1,10,Online,0,0,0,82.95,0,2017-11-02,Not_Canceled,0.0,1.6094379124341003,0.6931471805599453,2.3978952727983707,0.0,0.0,0.0,0.0,2017.0,11.0,2.0,Thursday,0
2,0,1,3,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,155.0,1,2017-09-21,Not_Canceled,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2017.0,9.0,21.0,Thursday,0
2,0,0,1,Not Selected,0,Room_Type 1,12,Online,0,0,0,101.68,1,2018-06-30,Not_Canceled,0.0,0.6931471805599453,0.0,2.5649493574615367,0.0,0.0,0.0,0.6931471805599453,2018.0,6.0,30.0,Saturday,0
2,0,2,1,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,94.5,3,2017-09-05,Not_Canceled,0.0,0.6931471805599453,0.0,3.4965075614664802,0.0,0.0,0.0,1.3862943611198906,2017.0,9.0,5.0,Tuesday,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,182,Online,0,0,0,117.9,2,2018-09-30,Canceled,0.0,1.0986122886681096,0.0,5.209486152841421,0.0,0.0,0.0,1.0986122886681096,2018.0,9.0,30.0,Sunday,1
2,0,1,0,Not Selected,0,Room_Type 1,1,Online,0,0,0,127.0,1,2018-06-27,Not_Canceled,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,2018.0,6.0,27.0,Wednesday,0
2,0,0,3,Not Selected,0,Room_Type 1,122,Online,0,0,0,116.1,2,2018-06-16,Not_Canceled,0.0,1.3862943611198906,0.0,4.812184355372417,0.0,0.0,0.0,1.0986122886681096,2018.0,6.0,16.0,Saturday,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,117.9,1,2018-06-30,Not_Canceled,0.0,1.3862943611198906,0.0,3.713572066704308,0.0,0.0,0.0,0.6931471805599453,2018.0,6.0,30.0,Saturday,0
3,0,2,2,Meal Plan 1,1,Room_Type 4,123,Online,0,0,0,155.7,1,2018-08-13,Not_Canceled,0.0,1.0986122886681096,0.6931471805599453,4.820281565605037,0.0,0.0,0.0,0.6931471805599453,2018.0,8.0,13.0,Monday,0
